騎手名,コース,1着,2着,3着,4着以下,単勝回収率,複勝回収率,単勝平均,単勝標準偏差,複勝平均,複勝標準偏差
モレイ,中山芝1800m,1,4,0,5,0.41,0.62,4.1,0.0,1.24,0.2
モレイ,中山芝2000m,4,3,2,7,1.25,0.91,5.0,3.35,1.61,0.86
モレイ,中山芝2200m,4,0,0,5,1.23,0.56,2.77,0.78,1.25,0.17
モレイ,中山芝2500m,1,1,0,2,0.5,0.93,2.0,0.0,1.85,0.65
モレイ,京都ダート1200m,0,1,0,1,0.0,0.7,0.0,0.0,1.4,0.0
モレイ,京都ダート1400m,1,1,1,5,0.39,0.48,3.1,0.0,1.27,0.17
モレイ,京都ダート1800m,3,0,1,4,0.74,0.88,1.97,0.53,1.75,0.96
モレイ,京都ダート1900m,0,1,0,1,0.0,0.7,0.0,0.0,1.4,0.0
モレイ,京都芝1200m,1,1,0,4,0.6,0.67,3.6,0.0,2.0,0.1
モレイ,京都芝1400m,1,1,0,3,0.44,0.88,2.2,0.0,2.2,0.9
モレイ,京都芝1600m,0,1,0,6,0.0,0.36,0.0,0.0,2.5,0.0
モレイ,京都芝1800m,0,2,1,5,0.0,0.75,0.0,0.0,2.0,0.5
モレイ,京都芝2000m,3,1,0,6,1.36,0.62,4.53,2.56,1.55,0.5
モレイ,京都芝2400m,1,0,0,1,0.9,0.55,1.8,0.0,1.1,0.0
モレイ,京都芝3000m,0,1,0,1,0.0,0.8,0.0,0.0,1.6,0.0
モレイ,京都芝3200m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
モレイ,札幌ダート1000m,1,0,0,3,0.6,0.35,2.4,0.0,1.4,0.0
モレイ,札幌ダート1700m,4,2,2,10,0.57,0.8,2.58,1.1,1.8,1.06
モレイ,札幌ダート2400m,0,1,0,1,0.0,0.9,0.0,0.0,1.8,0.0
モレイ,札幌芝1200m,0,3,0,7,0.0,0.74,0.0,0.0,2.47,1.87
モレイ,札幌芝1500m,1,1,1,5,0.47,0.54,3.8,0.0,1.43,0.25
モレイ,札幌芝1800m,3,1,1,6,0.93,0.64,3.4,1.79,1.4,0.33
モレイ,札幌芝2000m,1,0,0,7,0.4,0.17,3.2,0.0,1.4,0.0
モレイ,札幌芝2600m,0,0,1,3,0.0,0.55,0.0,0.0,2.2,0.0
モレイ,東京ダート1300m,1,1,0,2,1.0,0.78,4.0,0.0,1.55,0.45
モレイ,東京ダート1400m,4,2,0,13,0.56,0.39,2.65,1.51,1.25,0.23
モレイ,東京ダート1600m,9,3,2,25,0.44,0.52,1.92,0.4,1.44,0.61
モレイ,東京ダート2100m,2,0,4,6,0.59,0.77,3.55,0.85,1.53,0.49
モレイ,東京芝1400m,5,0,0,13,1.47,0.41,5.28,5.47,1.48,0.51
モレイ,東京芝1600m,4,9,2,16,0.36,0.62,2.82,0.99,1.27,0.21
モレイ,東京芝1800m,10,4,2,18,0.91,0.74,3.08,1.42,1.56,0.69
モレイ,東京芝2000m,2,0,0,13,0.29,0.17,2.15,0.15,1.3,0.2
モレイ,東京芝2300m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
モレイ,東京芝2400m,2,2,2,6,0.37,0.77,2.2,0.6,1.53,0.77
モレイ,東京芝2500m,1,0,0,1,1.2,0.55,2.4,0.0,1.1,0.0
モレイ,東京芝3400m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
モレイ,阪神ダート1200m,0,1,0,4,0.0,0.3,0.0,0.0,1.5,0.0
モレイ,阪神ダート1400m,1,1,0,4,0.32,0.45,1.9,0.0,1.35,0.25
モレイ,阪神ダート1800m,1,2,1,8,0.24,0.41,2.9,0.0,1.23,0.16
モレイ,阪神ダート2000m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
モレイ,阪神芝1200m,0,1,0,1,0.0,0.55,0.0,0.0,1.1,0.0
モレイ,阪神芝1600m,4,0,0,8,1.18,0.52,3.55,1.25,1.55,0.32
モレイ,阪神芝1800m,0,1,0,3,0.0,0.3,0.0,0.0,1.2,0.0
モレイ,阪神芝2000m,0,3,2,8,0.0,0.56,0.0,0.0,1.46,0.32
モレイ,阪神芝2400m,0,1,0,3,0.0,0.4,0.0,0.0,1.6,0.0
モレイ,阪神芝2600m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,中京ダート1800m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,中京芝2000m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,中山ダート1200m,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,中山ダート1800m,0,1,0,9,0.0,1.34,0.0,0.0,13.4,0.0
舟山瑠,中山ダート2400m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,中山芝1600m,1,1,0,3,0.46,0.6,2.3,0.0,1.5,0.1
舟山瑠,中山芝1800m,0,0,1,1,0.0,1.7,0.0,0.0,3.4,0.0
舟山瑠,中山芝2000m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,中山芝2200m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,函館ダート1000m,2,0,0,6,0.85,0.34,3.4,1.2,1.35,0.15
舟山瑠,函館ダート1700m,2,1,0,10,0.72,0.48,4.7,0.0,2.07,0.46
舟山瑠,函館芝1200m,0,1,1,7,0.0,0.9,0.0,0.0,4.05,2.55
舟山瑠,函館芝1800m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,函館芝2000m,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,函館芝2600m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
